total_revenue,transaction_count,total_quantity,avg_discount,unique_orders,month,avg_order_value
11287623.73,14621,35130,0.1,14621,2023-01,772.01
7624646.66,9647,22956,0.12,9647,2023-02,790.36
6014158.01,7615,18544,0.13,7615,2023-03,789.78
4026295.78,5386,13111,0.14,5386,2023-04,747.55
2957088.73,3911,9226,0.13,3911,2023-05,756.1
1908169.78,2674,6538,0.15,2674,2023-06,713.6
1626601.67,2091,5186,0.17,2091,2023-07,777.91
1086974.49,1414,3509,0.14,1414,2023-08,768.72
802568.87,1003,2452,0.13,1003,2023-09,800.17
516717.15,712,1715,0.14,712,2023-10,725.73
367763.46,557,1337,0.18,557,2023-11,660.26
263470.35,369,958,0.19,369,2023-12,714.01
